Account_Name,Current_Cluster,Composite_Confidence,Confidence_Level,Sources_Used,Recommended_Action,Product_Confidence,Statistical_Confidence,Product_Classification,Top_3_Clusters,Is_Overall_Outlier,MRR_Calculated,Users,Primary_Business_Type
arkconcrete,Building Materials & Construction,80.0,High (Product + Statistical agree),P+S,Re-classify to Safety & Security Equipment,64.0,High,Safety & Security Equipment,"Safety & Security Equipment: 64.0%, Building Materials & Construction: 14.0%, Automotive & Transportation: 2.0%",False,91.5,2.0,NonInventory-Based (Digital/Services)
worksafetyllc,Building Materials & Construction,80.0,High (Product + Statistical agree),P+S,Re-classify to Safety & Security Equipment,40.0,High,Safety & Security Equipment,Safety & Security Equipment: 40.0%,False,10.166666666666666,2.0,Hybrid (Mixed)
tekkometals,Building Materials & Construction,80.0,High (Product + Statistical agree),P+S,Re-classify to Metal Fabrication & Steel,57.7,High,Metal Fabrication & Steel,"Metal Fabrication & Steel: 57.7%, Electrical & Lighting Equipment: 19.2%, Office Supplies & Equipment: 3.8%",False,10.166666666666666,2.0,NonInventory-Based (Digital/Services)
helenarosejewelry,Building Materials & Construction,80.0,High (Product + Statistical agree),P+S,Re-classify to Packaging & Printing,26.0,High,Packaging & Printing,"Packaging & Printing: 26.0%, Furniture & Home Furnishings: 8.0%, Office Supplies & Equipment: 8.0%",False,8.416666666666666,2.0,Inventory-Based (Physical Products)
dtsdirect,Building Materials & Construction,80.0,High (Product + Statistical agree),P+S,Re-classify to Safety & Security Equipment,26.0,High,Safety & Security Equipment,"Safety & Security Equipment: 26.0%, Medical Equipment & Supplies: 2.0%, Automotive & Transportation: 2.0%",False,38.916666666666664,8.0,Inventory-Based (Physical Products)
rakit3,Building Materials & Construction,80.0,High (Product + Statistical agree),P+S,Re-classify to Safety & Security Equipment,34.0,High,Safety & Security Equipment,"Safety & Security Equipment: 34.0%, HVAC & Refrigeration Equipment: 18.0%, Electrical & Lighting Equipment: 8.0%",False,37.0,1.0,Inventory-Based (Physical Products)
southweststeelfabrication,Building Materials & Construction,80.0,High (Product + Statistical agree),P+S,Re-classify to Apparel & Textiles,50.0,High,Apparel & Textiles,Apparel & Textiles: 50.0%,False,49.0,1.0,Product-Based (Mixed Inventory)
netzerousa2,Building Materials & Construction,70.0,Medium (Product + Statistical),P+S,Re-classify to General Wholesale/Distribution,2.0,High,General Wholesale/Distribution,"Industrial Equipment & Machinery: 2.0%, Electrical & Lighting Equipment: 2.0%",False,423.0,9.0,Product-Based (Mixed Inventory)
bodegatile,Building Materials & Construction,80.0,High (Product + Statistical agree),P+S,Re-classify to Metal Fabrication & Steel,28.0,High,Metal Fabrication & Steel,"Metal Fabrication & Steel: 28.0%, Furniture & Home Furnishings: 6.0%, Medical Equipment & Supplies: 2.0%",False,54.083333333333336,10.0,Inventory-Based (Physical Products)
kandbfloorcoveringllc,Building Materials & Construction,70.0,Medium (Product + Statistical),P+S,Re-classify to General Wholesale/Distribution,12.0,High,General Wholesale/Distribution,"Automotive & Transportation: 12.0%, Chemicals, Plastics & Rubber: 10.0%, Wood Products & Lumber: 8.0%",False,110.0,2.0,NonInventory-Based (Digital/Services)
wholelogreclaimed3,Building Materials & Construction,80.0,High (Product + Statistical agree),P+S,Re-classify to Wood Products & Lumber,34.0,High,Wood Products & Lumber,"Wood Products & Lumber: 34.0%, Packaging & Printing: 22.0%, Building Materials & Construction: 12.0%",False,98.0,2.0,NonInventory-Based (Digital/Services)
imagehomedecorlp,Building Materials & Construction,70.0,Medium (Product + Statistical),P+S,Re-classify to General Wholesale/Distribution,16.0,High,General Wholesale/Distribution,"Building Materials & Construction: 16.0%, Automotive & Transportation: 14.0%, Metal Fabrication & Steel: 6.0%",False,98.0,2.0,Hybrid (Mixed)
bertelsonprecast,Building Materials & Construction,70.0,Medium (Product + Statistical),P+S,Re-classify to General Wholesale/Distribution,8.0,High,General Wholesale/Distribution,"Safety & Security Equipment: 8.0%, Medical Equipment & Supplies: 4.0%",False,98.0,2.0,NonInventory-Based (Digital/Services)
apexstone,Building Materials & Construction,70.0,Medium (Product + Statistical),P+S,Re-classify to General Wholesale/Distribution,6.0,High,General Wholesale/Distribution,"Building Materials & Construction: 6.0%, Medical Equipment & Supplies: 4.0%, Office Supplies & Equipment: 4.0%",False,776.0,14.0,Inventory-Based (Physical Products)
division9associates,Building Materials & Construction,70.0,Medium (Product + Statistical),P+S,Re-classify to General Wholesale/Distribution,18.0,High,General Wholesale/Distribution,"Chemicals, Plastics & Rubber: 18.0%, Furniture & Home Furnishings: 8.0%, Medical Equipment & Supplies: 4.0%",False,30.0,9.0,Service-Based
americanstonecraft,Building Materials & Construction,70.0,Medium (Product + Statistical),P+S,Re-classify to General Wholesale/Distribution,8.0,High,General Wholesale/Distribution,"Safety & Security Equipment: 8.0%, Building Materials & Construction: 4.0%",False,2.9166666666666665,1.0,NonInventory-Based (Digital/Services)
refreshdeal,Building Materials & Construction,70.0,Medium (Product + Statistical),P+S,Re-classify to General Wholesale/Distribution,7.5,High,General Wholesale/Distribution,"Packaging & Printing: 7.5%, Furniture & Home Furnishings: 2.5%, Apparel & Textiles: 2.5%",False,49.37916666666666,14.0,Service-Based
