Industry_Cluster_Enhanced_V2,Total_Accounts,Accounts_With_Website,Accounts_With_Domains,Accounts_With_Product_Data,Total_MRR,Website_Coverage_Pct,Domain_Coverage_Pct,Product_Data_Coverage_Pct,Primary_Validation_Method,Validation_Feasibility
General Wholesale/Distribution,421,201,421,387,50385.833333333336,47.7,100.0,91.9,Product Data Primary,75.0
General/Specialty Manufacturing,348,171,348,321,51314.916666666664,49.1,100.0,92.2,Product Data Primary,75.7
General Retail,148,53,148,124,18068.81,35.8,100.0,83.8,Product Data Primary,66.2
Food & Beverage Dist/Mfg,30,7,30,29,3691.8333333333335,23.3,100.0,96.7,Product Data Primary,67.7
Building Materials & Construction,22,7,22,20,2389.295833333333,31.8,100.0,90.9,Product Data Primary,68.2
Medical Equipment & Supplies,16,9,16,12,3005.0666666666666,56.2,100.0,75.0,Hybrid (Good),70.0
"Chemicals, Plastics & Rubber",15,7,15,14,3477.5933333333332,46.7,100.0,93.3,Product Data Primary,75.3
Furniture & Home Furnishings,14,6,14,13,2320.75,42.9,100.0,92.9,Product Data Primary,73.6
Apparel & Textiles,13,7,13,12,909.9166666666666,53.8,100.0,92.3,Hybrid (Good),77.7
Industrial Equipment & Machinery,9,2,9,9,1262.4166666666667,22.2,100.0,100.0,Product Data Primary,68.9
Safety & Security Equipment,8,1,8,7,774.6666666666666,12.5,100.0,87.5,Product Data Primary,58.8
Electronics & Technology,7,2,7,7,4139.216666666667,28.6,100.0,100.0,Product Data Primary,71.4
Electrical & Lighting Equipment,7,3,7,7,1274.1666666666665,42.9,100.0,100.0,Product Data Primary,77.2
Sporting Goods & Fitness Equipment,7,3,7,7,1039.4166666666667,42.9,100.0,100.0,Product Data Primary,77.2
Manufacturer Representatives,6,2,6,5,1288.1666666666667,33.3,100.0,83.3,Product Data Primary,65.0
Office Supplies & Equipment,5,2,5,4,1286.0,40.0,100.0,80.0,Product Data Primary,66.0
Packaging & Printing,5,1,5,4,771.4166666666667,20.0,100.0,80.0,Product Data Primary,58.0
Agriculture & Greenhouse/Nursery,5,2,5,5,1271.3333333333333,40.0,100.0,100.0,Product Data Primary,76.0
Metal Fabrication & Steel,4,3,4,4,82.75,75.0,100.0,100.0,Hybrid (Excellent),90.0
HVAC & Refrigeration Equipment,2,1,2,2,167.66666666666669,50.0,100.0,100.0,Hybrid (Good),80.0
Automotive & Transportation,2,2,2,2,70.0,100.0,100.0,100.0,Hybrid (Excellent),100.0
"Signs, Graphics & Displays",1,0,1,1,63.75,0.0,100.0,100.0,Product Data Primary,60.0
Wood Products & Lumber,1,0,1,1,196.0,0.0,100.0,100.0,Product Data Primary,60.0
